area type,availability,location,size,society,total sqft,bath,balcony,price
plot  area,ready to move,srirampura,5 Bedroom,grrvagr,1200,5.0,2.0,180.0
super built up  area,18 dec,kodathi,2 BHK,grrvagr,850,2.0,2.0,27.0
super built up  area,ready to move,whitefield,2 BHK,gotis a,1280,2.0,2.0,75.0
built up  area,ready to move,munnekollal,2 BHK,grrvagr,1170,2.0,2.0,52.0
super built up  area,ready to move,motappa layout,2 BHK,puodse,1113,2.0,1.0,51.0
super built up  area,ready to move,hennur road,2 BHK,mileeou,1385,2.0,1.0,83.09
super built up  area,18 apr,electronic city,2 BHK,prarkun,1128,2.0,1.0,65.0
plot  area,ready to move,marathahalli,2 Bedroom,grrvagr,1200,2.0,2.0,128.0
plot  area,ready to move,akshaya vana,4 Bedroom,grrvagr,1200,4.0,3.0,165.0
super built up  area,ready to move,rajaji nagar,3 BHK,pheston,2390,3.0,2.0,415.0
plot  area,ready to move,giri nagar,4 Bedroom,grrvagr,2400,4.0,1.0,400.0
super built up  area,ready to move,haralur road,3 BHK,nrowse,1464,3.0,2.0,56.0
super built up  area,ready to move,manayata tech park,2 BHK,grrvagr,1200,2.0,2.0,55.0
super built up  area,ready to move,kaval byrasandra,2 BHK,abncy r,1200,2.0,2.0,52.0
super built up  area,ready to move,kaggalipura,3 BHK,baowsig,1150,2.0,1.0,55.0
built up  area,ready to move,basavanna nagar,3 BHK,itala a,1645,3.0,2.0,95.0
super built up  area,20 mar,sarjapur  road,2 BHK,grrvagr,1000,2.0,1.0,67.0
plot  area,ready to move,haralur road,4 Bedroom,grrvagr,2650,4.0,2.0,198.0
super built up  area,ready to move,6th phase jp nagar,2 BHK,hminebo,1192,2.0,2.0,74.0
super built up  area,ready to move,ulsoor,3 BHK,k borja,2135,3.0,2.0,215.0
super built up  area,19 dec,whitefield,2 BHK,oreldhi,1173,2.0,1.0,58.0
built up  area,ready to move,uttarahalli,2 BHK,sungspr,1020,2.0,2.0,45.0
super built up  area,ready to move,thigalarapalya,4 BHK,prtanha,3122,6.0,2.0,230.0
super built up  area,ready to move,somasundara palya,3 BHK,grrvagr,1600,3.0,3.0,64.0
plot  area,18 mar,t.c palya,2 Bedroom,grrvagr,1200,2.0,0.0,79.0
carpet  area,ready to move,muneshwara nagar,2 BHK,grrvagr,1230,2.0,3.0,48.0
super built up  area,ready to move,devarachikkanahalli,2 BHK,clntsrt,1250,2.0,2.0,40.0
super built up  area,ready to move,kalena agrahara,2 BHK,puamapa,1325,2.0,2.0,76.0
built up  area,ready to move,7th phase jp nagar,3 BHK,brngsal,1850,3.0,1.0,150.0
super built up  area,21 dec,kanakpura road,1 BHK,prarepa,525,2.0,2.0,21.53
super built up  area,ready to move,basaveshwara nagar,2 BHK,grrvagr,1200,2.0,2.0,65.0
plot  area,ready to move,bull temple road,3 Bedroom,grrvagr,1350,2.0,0.0,140.0
super built up  area,18 jun,bommasandra,3 BHK,ssestth,1260,3.0,1.0,49.36
super built up  area,ready to move,prashanth nagar,3 BHK,vancy r,1800,3.0,0.0,150.0
plot  area,18 dec,suragajakkanahalli,3 Bedroom,prhyak,11,3.0,2.0,74.0
built up  area,ready to move,ardendale,2 BHK,miwel m,1100,2.0,1.0,43.25
super built up  area,ready to move,harlur,2 BHK,srendpo,1508,2.0,1.0,77.0
carpet  area,ready to move,sampigehalli,3 BHK,puens g,1592,3.0,2.0,75.0
super built up  area,ready to move,akshaya nagar,2 BHK,sagassa,1388,2.0,3.0,57.0
super built up  area,18 may,electronic city phase ii,1 BHK,snbay g,630,1.0,1.0,28.35
plot  area,ready to move,rmv,3 Bedroom,grrvagr,2000,3.0,2.0,365.0
super built up  area,ready to move,banashankari3rd stage bigbazar,3 BHK,grrvagr,1762,3.0,1.0,125.0
super built up  area,21 dec,bagalur main road,2 BHK,grrvagr,950,2.0,2.0,50.0
super built up  area,ready to move,kodihalli,4 BHK,soianal,3252,5.0,3.0,335.0
super built up  area,18 aug,magadi road,2 BHK,vrenty,1116,2.0,1.0,50.0
super built up  area,ready to move,narayanapura,2 BHK,arioshe,1308,2.0,2.0,89.04
super built up  area,ready to move,ms pallya,3 BHK,grrvagr,1200,3.0,0.0,90.0
plot  area,ready to move,binny mills employees colony,4 Bedroom,grrvagr,1500,4.0,2.0,230.0
built up  area,ready to move,bannerghatta road,1 BHK,grrvagr,500,1.0,1.0,18.5
super built up  area,ready to move,hennur,2 BHK,sluresi,1075,2.0,1.0,52.0
super built up  area,18 mar,chandapura,1 BHK,siissi,530,1.0,0.0,11.66
built up  area,ready to move,bellandur,2 BHK,grrvagr,1205,2.0,3.0,66.0
super built up  area,ready to move,5th phase jp nagar,2 BHK,mangsr,1075,2.0,2.0,60.0
built up  area,ready to move,kr puram,2 BHK,hovaste,930,2.0,2.0,39.0
super built up  area,ready to move,balagere,2 BHK,exncene,1380,2.0,1.0,60.0
super built up  area,ready to move,hebbal,4 BHK,prersis,2483,5.0,2.0,212.0
built up  area,ready to move,kodigehaali,2 BHK,shyas s,1166,2.0,2.0,55.0
super built up  area,ready to move,bannerghatta road,2 BHK,nadelci,1050,2.0,1.0,65.0
super built up  area,19 mar,gopalapura,3 BHK,sothadr,2023.71,3.0,2.0,275.0
super built up  area,ready to move,begur road,2 BHK,dhalsh,1200,2.0,2.0,46.8
super built up  area,ready to move,lakshminarayana pura,3 BHK,puarent,1600,2.0,1.0,108.0
super built up  area,ready to move,billekahalli,3 BHK,maionpa,1935,3.0,2.0,110.0
super built up  area,18 may,8th phase jp nagar,1 BHK,maian m,451,1.0,0.0,29.9
super built up  area,ready to move,electronic city,3 BHK,shstaal,1800,3.0,2.0,95.0
super built up  area,18 may,jalahalli,3 BHK,shard t,1400,3.0,0.0,77.0
super built up  area,ready to move,hegde nagar,3 BHK,soitaca,1801,3.0,2.0,115.0
built up  area,ready to move,mahadevpura,2 BHK,neagar,1451,2.0,2.0,90.0
plot  area,19 jan,anekal,2 Bedroom,grrvagr,1200,1.0,1.0,36.0
super built up  area,ready to move,begur road,2 BHK,dhalsh,1160,2.0,2.0,44.0
built up  area,ready to move,kengeri,2 BHK,grrvagr,1000,2.0,1.0,25.0
super built up  area,ready to move,kanakpura road,2 BHK,wiowsri,950,2.0,1.0,40.0
built up  area,20 dec,"hoodi circle,",3 BHK,grrvagr,1629,3.0,2.0,79.0
built up  area,ready to move,vijayanagar,3 BHK,grrvagr,1580,2.0,0.0,134.0
super built up  area,21 jun,vijayanagar,3 BHK,saityat,1826,3.0,2.0,121.0
built up  area,ready to move,7th phase jp nagar,2 BHK,eladero,1245,2.0,1.0,94.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,lancyey,1145,2.0,2.0,45.79
super built up  area,ready to move,sompura,2 BHK,suiseit,825,2.0,1.0,33.0
super built up  area,18 aug,yeshwanthpur,3 BHK,aroomba,1693,3.0,3.0,108.0
super built up  area,ready to move,electronics city phase 1,2 BHK,courf t,1113.27,2.0,2.0,53.0
built up  area,ready to move,ashirvad colony,2 BHK,vmowsea,1460,2.0,1.0,58.0
built up  area,ready to move,doddathoguru,2 BHK,s onsma,1050,2.0,1.0,32.0
built up  area,ready to move,dodda nekkundi,2 BHK,tuentpa,1260,2.0,2.0,55.0
super built up  area,ready to move,k n extension,6 BHK,grrvagr,700,3.0,2.0,120.0
built up  area,ready to move,hosur road,2 BHK,tovesee,1656,2.0,1.0,120.0
super built up  area,ready to move,chandapura,3 BHK,vailsaf,1208,3.0,1.0,45.0
super built up  area,ready to move,whitefield,3 BHK,brlisco,1910,3.0,2.0,161.0
super built up  area,ready to move,whitefield,4 BHK,haestt,3252,4.0,1.0,230.0
plot  area,ready to move,battarahalli,2 Bedroom,grrvagr,1200,2.0,1.0,65.0
super built up  area,ready to move,gokula extension,4 BHK,grrvagr,1200,4.0,1.0,175.0
super built up  area,ready to move,7th phase jp nagar,2 BHK,briummi,1175,2.0,1.0,82.0
plot  area,ready to move,kamakshipalya,2 Bedroom,grrvagr,1000,2.0,0.0,165.0
plot  area,ready to move,bannerghatta road,4 Bedroom,grrvagr,1200,2.0,0.0,125.0
super built up  area,ready to move,rajaji nagar,3 BHK,pheston,2390,3.0,2.0,410.0
super built up  area,19 jan,rajaji nagar,7 BHK,grrvagr,12000,6.0,3.0,2200.0
plot  area,ready to move,sultan palaya,2 Bedroom,grrvagr,550,1.0,1.0,62.0
super built up  area,ready to move,kengeri,1 BHK,grrvagr,34.46Sq. Meter,1.0,0.0,18.5
super built up  area,ready to move,sanne amanikere,2 BHK,hoxiaa,1185,2.0,2.0,38.0
super built up  area,ready to move,kengeri,2 BHK,vbvenal,750,2.0,1.0,38.0
plot  area,ready to move,mahalakshmi layout,6 Bedroom,grrvagr,1200,7.0,3.0,250.0
super built up  area,ready to move,kanakpura road,3 BHK,jrrnauv,1550,3.0,3.0,64.5
built up  area,ready to move,amco colony,3 BHK,hoeatan,1760,3.0,2.0,88.0
super built up  area,ready to move,billekahalli,2 BHK,asity s,1125,2.0,2.0,62.0
plot  area,ready to move,nagarbhavi,3 Bedroom,grrvagr,1350,3.0,2.0,150.0
plot  area,17 dec,anandapura,2 Bedroom,grrvagr,1000,2.0,1.0,55.0
built up  area,18 aug,bommasandra industrial area,2 BHK,grrvagr,1090,2.0,2.0,31.48
plot  area,ready to move,tc palaya,2 Bedroom,grrvagr,1200,2.0,0.0,60.0
super built up  area,ready to move,budigere,3 BHK,pritytr,1991,4.0,2.0,103.0
super built up  area,18 oct,bommasandra,2 BHK,dsoodil,1060,2.0,1.0,26.5
super built up  area,ready to move,ambalipura,2 BHK,sjarkte,1105,2.0,1.0,75.0
built up  area,ready to move,hoodi,2 BHK,dhgraas,985,2.0,2.0,67.0
plot  area,ready to move,chandapura,6 Bedroom,grrvagr,1533,5.0,3.0,85.0
super built up  area,17 jul,balagere,3 BHK,hiquema,1590,3.0,2.0,79.0
super built up  area,ready to move,cv raman nagar,2 BHK,srshq t,1120,2.0,2.0,55.0
super built up  area,ready to move,samethanahalli,2 BHK,spontna,1069,2.0,1.0,55.0
super built up  area,ready to move,marathahalli,3 BHK,prionad,1933,3.0,2.0,140.0
built up  area,16 mar,hosur road,2 BHK,puendwe,1194,2.0,0.0,69.0
super built up  area,ready to move,brookefield,2 BHK,danna s,1150,2.0,3.0,69.0
super built up  area,ready to move,yelenahalli,2 BHK,grrvagr,1240,2.0,2.0,47.12
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1419,2.0,2.0,48.1
plot  area,ready to move,7th phase jp nagar,8 Bedroom,grrvagr,1200,8.0,2.0,250.0
super built up  area,ready to move,richmond town,3 BHK,bltonin,2150,4.0,2.0,240.0
super built up  area,ready to move,suddaguntepalya,3 BHK,msanaer,1450,3.0,2.0,55.0
super built up  area,18 jul,udayapur village,3 BHK,plowsri,1630,3.0,2.0,68.29
super built up  area,ready to move,dasanapura,2 BHK,tavenew,708,1.0,1.0,40.0
plot  area,ready to move,kasavanhalli,3 Bedroom,grrvagr,1000,4.0,3.0,110.0
plot  area,ready to move,whitefield,4 Bedroom,grrvagr,11890,4.0,3.0,700.0
super built up  area,ready to move,bellandur,2 BHK,ocavees,1250,2.0,1.0,76.0
super built up  area,ready to move,7th phase jp nagar,3 BHK,brnia g,1400,2.0,1.0,95.0
super built up  area,ready to move,sarjapur  road,3 BHK,grrvagr,1670,2.0,3.0,57.0
super built up  area,ready to move,ardendale,3 BHK,soystam,1750,3.0,2.0,100.0
super built up  area,ready to move,vittasandra,2 BHK,prlla c,1404,2.0,1.0,71.0
super built up  area,ready to move,hoodi,3 BHK,smaxyay,1715,2.0,2.0,95.0
built up  area,18 apr,electronic city,1 BHK,prarkun,630,1.0,1.0,34.65
super built up  area,ready to move,harlur,3 BHK,sosiccl,1752.12,3.0,2.0,135.0
super built up  area,ready to move,hulimavu,3 BHK,grrvagr,1650,3.0,2.0,78.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1295,2.0,1.0,55.47
plot  area,ready to move,giri nagar,3 Bedroom,bancyri,1800,3.0,2.0,252.0
super built up  area,18 sep,sarjapur  road,2 BHK,pualesk,1346,2.0,1.0,74.03
plot  area,ready to move,thippasandra,4 Bedroom,grrvagr,1200,4.0,2.0,200.0
super built up  area,ready to move,hormavu,2 BHK,elavuho,1150,2.0,2.0,55.0
built up  area,ready to move,chikkabidarakallu,4 Bedroom,gontyol,3309,4.0,3.0,325.0
super built up  area,18 may,chandapura,3 BHK,suncees,1190,2.0,2.0,30.35
super built up  area,ready to move,aecs layout,3 BHK,dsutyng,1620,3.0,2.0,98.0
super built up  area,18 apr,marathahalli,2 BHK,grrvagr,950,2.0,1.0,46.96
super built up  area,ready to move,1 giri nagar,11 BHK,bancyri,5000,9.0,3.0,360.0
super built up  area,ready to move,harlur,3 BHK,srendpo,2450,3.0,0.0,120.0
super built up  area,18 may,electronic city phase ii,3 BHK,sryalan,1220,2.0,1.0,35.23
super built up  area,ready to move,hoysalanagar,2 BHK,rkntsrt,850,2.0,1.0,30.0
built up  area,ready to move,padmanabhanagar,2 BHK,grrvagr,1020,2.0,2.0,63.0
built up  area,ready to move,chikkalasandra,2 BHK,grrvagr,1100,2.0,2.0,50.0
super built up  area,ready to move,defence colony,2 BHK,vantspa,1150,2.0,2.0,126.0
super built up  area,18 dec,hebbal,3 BHK,mahosya,1760,2.0,2.0,130.0
super built up  area,ready to move,ambalipura,3 BHK,grrvagr,1800,3.0,3.0,110.0
super built up  area,ready to move,akshaya nagar,2 BHK,grrvagr,1070,2.0,1.0,54.0
plot  area,ready to move,2nd stage nagarbhavi,4 Bedroom,grrvagr,1500,4.0,2.0,220.0
plot  area,ready to move,vidyaranyapura,2 Bedroom,grrvagr,1440,2.0,0.0,95.0
super built up  area,ready to move,amruthahalli,2 BHK,prowsi,900,2.0,1.0,40.0
built up  area,ready to move,iti employees layout,4 BHK,grrvagr,1200,4.0,1.0,230.0
super built up  area,18 may,whitefield,2 BHK,smuilan,1130,2.0,1.0,42.16
super built up  area,ready to move,koramangala,2 BHK,proodt,1320,2.0,1.0,165.0
super built up  area,19 jun,kodigehalli,2 BHK,grrvagr,1270,2.0,1.0,98.0
built up  area,ready to move,patelappa layout,2 BHK,sryamar,1200,2.0,1.0,62.0
super built up  area,ready to move,ring road nagarbhavi,4 BHK,grrvagr,4800,4.0,2.0,235.0
super built up  area,ready to move,ns palya,2 BHK,grrvagr,1200,2.0,1.0,74.0
super built up  area,ready to move,subramanyapura,2 BHK,prldsri,929,2.0,0.0,50.17
built up  area,ready to move,rmv 2nd stage,4 BHK,liaveen,1150,4.0,2.0,260.0
plot  area,ready to move,basavangudi,4 Bedroom,grrvagr,1125,4.0,3.0,180.0
plot  area,ready to move,kenchenahalli,5 Bedroom,grrvagr,500,3.0,2.0,65.0
plot  area,ready to move,3rd block hrbr layout,5 Bedroom,bemesrm,1200,5.0,2.0,190.0
super built up  area,ready to move,kudlu main road,3 BHK,grrvagr,1464,3.0,2.0,56.0
super built up  area,ready to move,7th phase jp nagar,4 BHK,grrvagr,3600,4.0,3.0,400.0
plot  area,ready to move,bank avenue,4 Bedroom,grrvagr,2000,4.0,2.0,99.0
super built up  area,ready to move,chikkalasandra,2 BHK,grrvagr,1208,2.0,1.0,49.0
super built up  area,ready to move,hebbal kempapura,2 BHK,vrensn,1130,2.0,2.0,60.0
super built up  area,ready to move,surabhi layout,3 BHK,vddonel,1753,3.0,2.0,120.0
super built up  area,ready to move,old madras road,5 BHK,brica e,4500,7.0,3.0,337.0
plot  area,ready to move,banjara layout,3 Bedroom,grrvagr,600,3.0,2.0,58.0
super built up  area,22 jun,hoodi,2 BHK,goairej,1196,2.0,2.0,94.42
built up  area,ready to move,5th phase jp nagar,2 BHK,prenty,1150,3.0,3.0,52.5
super built up  area,18 apr,electronic city,2 BHK,prarkun,1128,2.0,1.0,63.0
super built up  area,ready to move,omkar nagar,2 BHK,shinei,1000,2.0,1.0,53.0
super built up  area,ready to move,yelahanka,2 BHK,apows m,1035,2.0,1.0,45.0
built up  area,ready to move,kereguddadahalli,2 BHK,grrvagr,950,2.0,1.0,32.0
super built up  area,ready to move,bisuvanahalli,3 BHK,prityel,1075,2.0,1.0,36.0
super built up  area,ready to move,whitefield,2 BHK,svineun,1040,2.0,1.0,48.5
plot  area,17 oct,maragondanahalli,2 Bedroom,grrvagr,720,2.0,1.0,45.0
super built up  area,ready to move,lingadheeranahalli,3 BHK,soiewre,1511,3.0,1.0,95.0
built up  area,ready to move,silk board,3 BHK,grrvagr,1300,3.0,1.0,58.0
super built up  area,19 dec,hoodi,3 BHK,caycend,1545,3.0,1.0,68.75
built up  area,ready to move,shampura,1 BHK,grrvagr,375,2.0,0.0,26.0
super built up  area,ready to move,vidyaranyapura,2 BHK,grrvagr,1062,2.0,3.0,38.0
super built up  area,ready to move,kada agrahara,2 BHK,grrvagr,1115,2.0,1.0,40.0
super built up  area,ready to move,jp nagar,2 BHK,dsvvyx,1000,2.0,1.0,35.0
super built up  area,17 may,kambipura,2 BHK,prrtht,883,2.0,1.0,45.0
super built up  area,19 apr,sarjapur  road,2 BHK,brareio,1195,2.0,1.0,70.0
plot  area,ready to move,bhel layout,4 Bedroom,grrvagr,1200,3.0,1.0,165.0
built up  area,ready to move,medahalli,1 Bedroom,grrvagr,700,1.0,0.0,41.0
super built up  area,ready to move,vittasandra,2 BHK,prlla c,1246,2.0,1.0,67.0
plot  area,ready to move,8th phase jp nagar,4 Bedroom,grrvagr,660,4.0,2.0,90.0
plot  area,ready to move,banashankari stage iii,4 Bedroom,grrvagr,8500,4.0,2.0,145.0
super built up  area,ready to move,kashi nagar,4 BHK,grrvagr,1600,4.0,1.0,80.0
super built up  area,18 dec,haralur road,4 BHK,snnia e,2805,5.0,3.0,154.0
super built up  area,ready to move,begur road,3 BHK,grrvagr,1584,3.0,2.0,65.0
plot  area,ready to move,sector 7 hsr layout,4 Bedroom,grrvagr,3000,5.0,1.0,275.0
built up  area,ready to move,hosur road,3 BHK,grrvagr,1175,2.0,2.0,48.0
built up  area,19 jul,"yemlur, old airport road,",3 BHK,grrvagr,1595,3.0,2.0,115.0
super built up  area,ready to move,vhbcs layout,2 BHK,olarkla,1353,2.0,2.0,110.0
super built up  area,18 apr,electronic city,3 BHK,prarkun,1599,3.0,2.0,125.0
super built up  area,ready to move,whitefield,2 BHK,sumtbpr,1150,2.0,1.0,70.0
super built up  area,17 dec,jakkur,4 BHK,lecco c,5230,6.0,1.0,465.0
super built up  area,ready to move,kr puram,2 BHK,jahidva,1155,2.0,2.0,42.74
built up  area,ready to move,ittamadu,1 BHK,grrvagr,1200,2.0,0.0,85.0
super built up  area,18 jul,electronic city phase ii,2 BHK,grrvagr,1000,2.0,1.0,25.0
super built up  area,ready to move,thanisandra,4 BHK,grrvagr,3000,4.0,2.0,120.0
built up  area,ready to move,rajiv nagar,3 BHK,puoodsk,1867,3.0,1.0,160.0
super built up  area,18 jun,ramagondanahalli,2 BHK,viistla,1251,2.0,1.0,47.0
super built up  area,18 apr,gattahalli,2 BHK,arano m,1028,2.0,1.0,45.5
super built up  area,ready to move,arekere,2 BHK,amngsag,1222,2.0,2.0,45.0
super built up  area,ready to move,bannerghatta road,3 BHK,snity s,1170,2.0,1.0,66.0
super built up  area,ready to move,hebbal,3 BHK,kacesh,2400,4.0,1.0,245.0
super built up  area,ready to move,ramanjaneyanagar,3 BHK,grrvagr,1385,2.0,2.0,48.48
super built up  area,ready to move,hsr layout,2 BHK,srisepo,1372,2.0,1.0,68.0
super built up  area,ready to move,magadi road,3 BHK,bilya a,1282,2.0,2.0,49.0
super built up  area,ready to move,mico layout,9 BHK,amsomun,5000,9.0,3.0,210.0
built up  area,ready to move,7th block jayanagar,5 Bedroom,grrvagr,3000,3.0,1.0,528.0
super built up  area,ready to move,kanakpura road,2 BHK,shdhia,1135,2.0,1.0,39.73
built up  area,20 dec,whitefield,3 BHK,grrvagr,1768,3.0,2.0,101.0
built up  area,ready to move,byatarayanapura,3 BHK,foconna,1325,2.0,1.0,90.0
super built up  area,18 apr,electronic city,3 BHK,prarkun,1599,3.0,2.0,99.0
plot  area,18 mar,whitefield,3 Bedroom,grrvagr,1500,3.0,1.0,61.95
plot  area,ready to move,2nd phase jp nagar,3 Bedroom,grrvagr,2610,3.0,0.0,499.0
super built up  area,ready to move,uttarahalli,2 BHK,grrvagr,1286,2.0,2.0,63.0
built up  area,ready to move,kammanahalli,5 BHK,grrvagr,2845,5.0,1.0,140.0
super built up  area,ready to move,k g colony,3 BHK,aincy r,1600,2.0,2.0,50.0
super built up  area,18 sep,hennur road,2 BHK,shxorm,1195 - 1440,2.0,0.0,63.77
super built up  area,ready to move,hebbal,3 BHK,brium c,3450,5.0,2.0,260.0
super built up  area,18 apr,munnekollal,2 BHK,sadhii,1102,2.0,2.0,53.67
super built up  area,ready to move,yelahanka,2 BHK,sahanra,1350,2.0,2.0,54.0
super built up  area,ready to move,banashankari,3 BHK,grrvagr,1200,2.0,2.0,42.0
plot  area,ready to move,hosa road,6 Bedroom,grrvagr,1300,6.0,0.0,145.0
plot  area,ready to move,herohalli,2 Bedroom,grrvagr,1800,1.0,1.0,80.0
built up  area,ready to move,chikkabanavar,2 BHK,grrvagr,950,2.0,1.0,40.0
super built up  area,21 dec,kanakpura road,1 BHK,prarepa,525,1.0,1.0,27.25
built up  area,ready to move,attibele,2 BHK,jae 2hu,656,2.0,1.0,25.0
plot  area,ready to move,marathahalli,4 Bedroom,grrvagr,1780,4.0,3.0,175.0
super built up  area,ready to move,3rd block hrbr layout,2 BHK,icncy r,1056,2.0,1.0,80.0
super built up  area,21 feb,bannerghatta road,1 BHK,hiatei,595,1.0,1.0,33.32
built up  area,ready to move,ittamadu,2 BHK,grrvagr,1080,2.0,2.0,50.0
super built up  area,19 dec,7th phase jp nagar,3 BHK,puarero,2225,3.0,1.0,160.0
super built up  area,18 aug,bommasandra,2 BHK,dsoodil,1126,2.0,1.0,28.15
super built up  area,ready to move,electronics city phase 1,3 BHK,gaicave,1490,3.0,1.0,84.0
plot  area,ready to move,hrbr layout,4 Bedroom,grrvagr,2000,4.0,1.0,300.0
super built up  area,ready to move,sarjapur  road,3 BHK,puinesu,1550,3.0,3.0,100.0
built up  area,ready to move,ashwini layout,2 BHK,grrvagr,1160,2.0,1.0,55.0
built up  area,ready to move,whitefield,4 Bedroom,proaksi,4144,4.0,3.0,315.0
super built up  area,ready to move,sarjapur  road,3 BHK,supleon,2100,3.0,2.0,125.0
super built up  area,ready to move,vittasandra,2 BHK,prlla c,1404,2.0,1.0,69.3
plot  area,ready to move,sarjapur  road,4 Bedroom,lgestbo,2230,4.0,3.0,225.0
super built up  area,ready to move,marathalli bridge,3 BHK,grrvagr,1544,3.0,2.0,120.0
super built up  area,18 may,banashankari stage iii,3 BHK,pridsi,1305,2.0,1.0,58.7
super built up  area,ready to move,marathahalli,2 BHK,aahts h,1230,2.0,2.0,80.0
